step,avg_len,avg_reward
0,-3211.75,0.919921875
1,-4342.375,0.833984375
2,-3072.125,0.91796875
3,-2864.75,1.111328125
4,-2441.375,0.5859375
5,-3744.125,0.716796875
6,-3521.25,1.1728515625
7,-1354.625,1.509765625
8,-2618.0,1.38671875
9,-3761.375,0.90625
10,-5125.375,0.6845703125
11,-4175.5,0.8896484375
12,-3250.75,1.013671875
13,-2674.375,0.482421875
14,-3328.125,0.7841796875
15,-1788.875,0.30859375
16,-2686.5,0.650390625
17,-3207.0,1.154296875
18,-1381.75,1.0126953125
19,-3784.75,0.6513671875
20,-3903.375,0.33203125
21,-1551.625,0.458984375
22,-903.875,1.853515625
23,-1471.125,1.3671875
24,-4549.0,0.94921875
25,-3316.375,0.7421875
26,-4906.25,1.4140625
27,-3313.5,1.146484375
28,-2090.75,0.896484375
29,-4408.75,1.267578125
