step,avg_len,avg_reward
0,-4018.5,0.0
1,-2405.0,1.029296875
2,-2903.5,0.5390625
3,-5781.25,0.458984375
4,-2143.75,0.5625
5,-4000.5,0.3515625
6,-1511.5,0.5234375
7,-4218.0,0.46484375
8,-4508.0,0.0
9,-374.75,0.400390625
10,-5770.75,0.455078125
11,-1717.5,0.478515625
12,-1567.5,0.62109375
13,-5475.0,0.5625
14,-2679.25,0.498046875
15,-30.0,0.947265625
16,-2418.0,0.56640625
17,-2818.0,0.58203125
18,-3549.75,1.01171875
19,-3973.0,0.42578125
20,-4221.0,0.494140625
21,-6029.75,0.0
22,-2260.5,0.546875
23,-6090.5,0.0
24,-2046.25,0.0
25,-4455.25,0.53125
26,-2136.75,0.0
27,-3212.0,0.498046875
28,-2032.5,0.486328125
29,-4623.75,0.0
