step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb,feat_48659_activation,feat_28879_activation,feat_26446_activation,feat_48659_above_tau,feat_28879_above_tau,feat_26446_above_tau
1,17.125672101974487,-0.134765625,-0.08447265625,0.050048828125,0.0,256.0,0.0,0.00732421875,0.0,0.0146484375,2.6994357109069824,0.0,0.0,-0.134765625,0.0654296875,-0.1806640625,-0.08837890625,0.11865234375,0.03662109375,37.46552576,0.0,2.953125,0.0,0.0,0.5,0.0
2,32.3948655128479,-0.2138671875,-0.1142578125,0.10009765625,0.0,256.0,0.0,0.1435546875,0.0,0.287109375,1.7833175659179688,0.0,0.0,-0.2138671875,0.012451171875,-0.22265625,-0.205078125,-0.2734375,0.65234375,37.46552576,0.0,7.75,0.0,0.0,1.0,0.0
3,46.096877574920654,-0.04736328125,-0.04736328125,0.0,0.0,256.0,0.0,0.060269832611083984,0.000229567289352417,0.11572265625,1.7099437713623047,-0.0013749822974205017,0.0,-0.04736328125,0.042236328125,-0.0771484375,-0.017333984375,-0.044921875,0.466796875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
4,61.30339074134827,-0.19140625,-0.140625,0.050048828125,0.0,256.0,0.0,0.04722955822944641,-0.004284650087356567,0.104248046875,2.012425184249878,-0.0005113780498504639,0.0,-0.19140625,0.042236328125,-0.220703125,-0.1611328125,0.265625,0.263671875,37.46552576,0.0,2.9375,0.0,0.0,0.5,0.0
5,75.34070301055908,-0.2275390625,-0.1279296875,0.10009765625,0.0,256.0,0.0,0.10296329855918884,-1.5079975128173828e-05,0.2080078125,1.6499751806259155,-0.0023340433835983276,0.0,-0.2275390625,0.00689697265625,-0.232421875,-0.22265625,0.2578125,0.53125,37.46552576,0.0,6.375,0.0,0.0,1.0,0.0
6,88.33619809150696,-0.1103515625,-0.1103515625,0.0,0.0,256.0,0.0,0.07138475775718689,-9.894371032714844e-06,0.1416015625,2.406144857406616,-0.001864403486251831,0.0,-0.1103515625,0.0172119140625,-0.12255859375,-0.09814453125,-0.1435546875,0.49609375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
7,105.73588395118713,-0.05517578125,-0.05517578125,0.0,0.0,256.0,0.0,0.027389943599700928,-0.0010948479175567627,0.05712890625,1.8107264041900635,-0.0005150735378265381,0.0,-0.05517578125,0.042236328125,-0.0849609375,-0.0252685546875,0.0712890625,0.330078125,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
8,118.82046914100647,-0.056396484375,-0.056396484375,0.0,0.0,256.0,0.0,0.5956334471702576,0.000525057315826416,1.1875,1.6038156747817993,-0.0004628598690032959,0.0,-0.056396484375,0.026611328125,-0.0751953125,-0.03759765625,0.66015625,1.234375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
9,132.0124237537384,-0.11376953125,-0.11376953125,0.0,0.0,256.0,0.0,0.022006064653396606,0.0014709681272506714,0.0438232421875,1.4007872343063354,-0.00034821033477783203,0.0,-0.11376953125,0.057373046875,-0.154296875,-0.0732421875,-0.091796875,0.267578125,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
10,145.56556844711304,-0.0986328125,-0.0986328125,0.0,0.0,256.0,0.0,0.4436433017253876,0.0005402415990829468,0.880859375,2.636000156402588,-0.00045131146907806396,0.0,-0.0986328125,0.046630859375,-0.1318359375,-0.06591796875,-0.71484375,0.8671875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
