step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb
1,17.14013671875,-0.08447265625,-0.08447265625,0.0,0.0,256.0,0.0,0.0008544921875,-0.013671875,0.029052734375,2.6994357109069824,0.0,0.0,-0.08447265625,0.005523681640625,-0.08837890625,-0.08056640625,0.16796875,0.033935546875,37.46552576
2,32.51232433319092,-0.1142578125,-0.1142578125,0.0,0.0,256.0,0.0,0.09326171875,0.0,0.1865234375,1.7833175659179688,0.0,0.0,-0.1142578125,0.0120849609375,-0.12255859375,-0.10546875,-0.1259765625,0.5859375,37.46552576
3,46.09044861793518,-0.05322265625,-0.05322265625,0.0,0.0,256.0,0.0,0.09961184859275818,0.0009779930114746094,0.1982421875,1.7923344373703003,0.0005953609943389893,0.0,-0.05322265625,0.039306640625,-0.0810546875,-0.025390625,0.2177734375,0.54296875,37.46552576
4,61.88017153739929,-0.1474609375,-0.1474609375,0.0,0.0,256.0,0.0,0.11710706353187561,-0.000745043158531189,0.23828125,2.0590059757232666,7.925927639007568e-05,0.0,-0.1474609375,0.03857421875,-0.1748046875,-0.1201171875,0.427734375,0.322265625,37.46552576
5,76.00305962562561,-0.12158203125,-0.12158203125,0.0,0.0,256.0,0.0,0.14239999651908875,-0.0002324432134628296,0.2783203125,1.6290309429168701,-0.00043147802352905273,0.0,-0.12158203125,0.0255126953125,-0.1396484375,-0.103515625,-0.078125,0.74609375,37.46552576
6,89.6768147945404,-0.10888671875,-0.10888671875,0.0,0.0,256.0,0.0,0.12683501839637756,-0.0003284066915512085,0.25390625,2.2453219890594482,0.0024586021900177,0.0,-0.10888671875,0.0137939453125,-0.11865234375,-0.09912109375,0.0458984375,0.70703125,37.46552576
7,106.99265146255493,-0.07080078125,-0.07080078125,0.0,0.0,256.0,0.0,0.2208634912967682,0.00160178542137146,0.435546875,1.8446773290634155,-0.00016179680824279785,0.0,-0.07080078125,0.0296630859375,-0.091796875,-0.0498046875,-0.1015625,0.9296875,37.46552576
8,120.53375101089478,-0.042724609375,-0.042724609375,0.0,0.0,256.0,0.0,1.0638983249664307,0.0006286054849624634,2.125,1.464874505996704,-0.000888139009475708,0.0,-0.042724609375,0.005523681640625,-0.046630859375,-0.038818359375,1.4375,0.30859375,37.46552576
9,134.24403834342957,-0.10888671875,-0.10888671875,0.0,0.0,256.0,0.0,0.046410173177719116,0.000493362545967102,0.091552734375,1.4404850006103516,0.002092331647872925,0.0,-0.10888671875,0.057373046875,-0.1494140625,-0.068359375,0.287109375,0.09130859375,37.46552576
10,147.7232038974762,-0.1015625,-0.1015625,0.0,0.0,256.0,0.0,0.5113747715950012,-0.0006319880485534668,1.0234375,2.695509433746338,-0.0002187788486480713,0.0,-0.1015625,0.04150390625,-0.130859375,-0.072265625,1.0078125,0.154296875,37.46552576
11,160.81120657920837,-0.0791015625,-0.0791015625,0.0,0.0,256.0,0.0,0.7679475545883179,-0.0014807283878326416,1.546875,2.3116912841796875,0.00014418363571166992,0.0,-0.0791015625,0.018310546875,-0.09228515625,-0.06640625,1.09375,0.8046875,37.46552576
12,173.73911595344543,-0.09033203125,-0.09033203125,0.0,0.0,256.0,0.0,1.0006535053253174,-0.007237464189529419,2.03125,2.1585421562194824,-0.0018574893474578857,0.0,-0.09033203125,0.0137939453125,-0.10009765625,-0.08056640625,1.359375,0.6015625,37.46552576
13,186.78255033493042,-0.13671875,-0.13671875,0.0,0.0,256.0,0.0,0.05345433950424194,0.000377848744392395,0.11328125,2.4436964988708496,0.0008282363414764404,0.0,-0.13671875,0.09423828125,-0.203125,-0.06982421875,0.328125,0.0220947265625,37.46552576
14,200.06708121299744,-0.08984375,-0.08984375,0.0,0.0,256.0,0.0,0.6359471082687378,-0.0005777627229690552,1.26953125,2.545112371444702,0.0010435357689857483,0.0,-0.08984375,0.010009765625,-0.09716796875,-0.0830078125,0.984375,0.76171875,37.46552576
15,212.99099922180176,-0.09228515625,-0.09228515625,0.0,0.0,256.0,0.0,0.12880939245224,0.0006565302610397339,0.2548828125,1.55024254322052,-0.00012705475091934204,0.0,-0.09228515625,0.0020751953125,-0.09375,-0.0908203125,0.46875,0.2490234375,37.46552576
16,225.9761803150177,-0.119140625,-0.119140625,0.0,0.0,256.0,0.0,0.0012621283531188965,-0.006818488240242004,0.0169677734375,1.38472318649292,-0.0002707242965698242,0.0,-0.119140625,0.0196533203125,-0.1328125,-0.10498046875,-0.126953125,0.072265625,37.46552576
