step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb,feat_37820_activation,feat_34825_activation,feat_27265_activation,feat_37820_above_tau,feat_34825_above_tau,feat_27265_above_tau
1,17.179693460464478,-0.08447265625,-0.08447265625,0.0,0.0,256.0,0.0,0.0008544921875,-0.013671875,0.029052734375,2.6994357109069824,0.0,0.0,-0.08447265625,0.005523681640625,-0.08837890625,-0.08056640625,0.16796875,0.033935546875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
2,32.863237142562866,-0.1142578125,-0.1142578125,0.0,0.0,256.0,0.0,0.09326171875,0.0,0.1865234375,1.7833175659179688,0.0,0.0,-0.1142578125,0.0120849609375,-0.12255859375,-0.10546875,-0.1259765625,0.5859375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
3,47.14122557640076,-0.0419921875,-0.0419921875,0.0,0.0,256.0,0.0,0.07706806063652039,0.0009046494960784912,0.15478515625,1.809122920036316,0.0012576282024383545,0.0,-0.0419921875,0.03515625,-0.06689453125,-0.017333984375,0.1923828125,0.45703125,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
4,62.24391555786133,-0.142578125,-0.142578125,0.0,0.0,256.0,0.0,0.20610597729682922,-0.00037892162799835205,0.4150390625,1.9118911027908325,-0.0010075271129608154,0.0,-0.142578125,0.0283203125,-0.162109375,-0.1220703125,0.28125,0.82421875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
5,76.75788259506226,-0.1083984375,-0.1083984375,0.0,0.0,256.0,0.0,0.06115919351577759,-0.0002948939800262451,0.123779296875,1.6566872596740723,-0.0009294450283050537,0.0,-0.1083984375,0.0162353515625,-0.1201171875,-0.09716796875,0.201171875,0.400390625,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
6,90.2866883277893,-0.1015625,-0.1015625,0.0,0.0,256.0,0.0,0.07091757655143738,0.0010465830564498901,0.13916015625,2.2230780124664307,0.0011546909809112549,0.0,-0.1015625,0.04736328125,-0.134765625,-0.06787109375,-0.37890625,0.060791015625,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
7,108.05701780319214,-0.053955078125,-0.053955078125,0.0,0.0,256.0,0.0,0.14218556880950928,0.00034706294536590576,0.2763671875,1.8848705291748047,0.0031965821981430054,0.0,-0.053955078125,0.0439453125,-0.0849609375,-0.02294921875,-0.5234375,0.099609375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
8,121.71176385879517,-0.03515625,-0.03515625,0.0,0.0,256.0,0.0,0.018670886754989624,-0.00434499979019165,0.044677734375,1.4605014324188232,-0.0010361969470977783,0.0,-0.03515625,0.00836181640625,-0.041015625,-0.0291748046875,0.169921875,0.16796875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
9,135.5104742050171,-0.12451171875,-0.12451171875,0.0,0.0,256.0,0.0,0.14465495944023132,-0.009145542979240417,0.3056640625,1.2998428344726562,-0.0015869140625,0.0,-0.12451171875,0.047607421875,-0.158203125,-0.0908203125,-0.53125,0.234375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
10,149.28536319732666,-0.1044921875,-0.1044921875,0.0,0.0,256.0,0.0,0.08567491173744202,3.705918788909912e-05,0.16162109375,2.6565582752227783,0.0017913654446601868,0.0,-0.1044921875,0.0322265625,-0.126953125,-0.08154296875,-0.00390625,0.5625,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
11,162.86792492866516,-0.08984375,-0.08984375,0.0,0.0,256.0,0.0,0.16067594289779663,-0.00013490021228790283,0.3125,2.196927547454834,0.0020048320293426514,0.0,-0.08984375,0.00518798828125,-0.09375,-0.08642578125,0.03125,0.78515625,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
12,176.46709752082825,-0.0859375,-0.0859375,0.0,0.0,256.0,0.0,0.1948365569114685,-0.0007020533084869385,0.390625,2.081186056137085,-0.0006464123725891113,0.0,-0.0859375,0.0079345703125,-0.09130859375,-0.080078125,0.283203125,0.8046875,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
13,190.02348804473877,-0.080078125,-0.080078125,0.0,0.0,256.0,0.0,1.6798070669174194,0.00017468631267547607,3.3828125,2.3247878551483154,0.0006693601608276367,0.0,-0.080078125,0.0162353515625,-0.09130859375,-0.068359375,-0.94921875,2.234375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
14,203.75133681297302,-0.103515625,-0.103515625,0.0,0.0,256.0,0.0,0.8547043800354004,3.756582736968994e-05,1.71875,2.7588694095611572,-0.0019696950912475586,0.0,-0.103515625,0.0625,-0.1474609375,-0.05908203125,1.296875,0.33203125,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
15,217.287415266037,-0.072265625,-0.072265625,0.0,0.0,256.0,0.0,3.170865058898926,-0.0007061958312988281,6.3125,1.618661880493164,0.0011132359504699707,0.0,-0.072265625,0.0203857421875,-0.08642578125,-0.0576171875,-1.703125,2.609375,37.46552576,0.0,0.0,0.0,0.0,0.0,0.0
