step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb,feat_29733_activation,feat_53553_activation,feat_3402_activation,feat_29733_above_tau,feat_53553_above_tau,feat_3402_above_tau
1,8.813372611999512,-0.314453125,-0.1142578125,0.2001953125,0.0,128.0,0.0,0.236328125,0.0,0.47265625,3.255703926086426,0.0,0.0,-0.314453125,0.1630859375,-0.4296875,-0.19921875,-0.68359375,0.09375,35.238754304,4.59375,3.84375,7.375,0.5,0.5,1.0
2,16.393165588378906,-0.359375,-0.1103515625,0.25,0.0,128.0,0.0,0.240234375,0.0,0.48046875,2.259307622909546,0.0,0.0,-0.359375,0.056640625,-0.400390625,-0.3203125,-0.443359375,0.75390625,35.238754304,7.90625,2.828125,6.5,1.0,0.5,1.0
3,23.412925958633423,-0.3515625,-0.1025390625,0.25,0.0,128.0,0.0,0.15470844507217407,-0.015180215239524841,0.3310546875,2.723487615585327,0.001221299171447754,0.0,-0.3515625,0.0927734375,-0.41796875,-0.287109375,0.578125,0.1298828125,35.238754304,7.375,3.09375,5.90625,1.0,0.5,1.0
4,30.888256549835205,-0.3515625,-0.1005859375,0.25,0.0,128.0,0.0,2.033061981201172,0.0019406825304031372,4.0625,2.2511942386627197,0.0014449357986450195,0.0,-0.3515625,0.0927734375,-0.416015625,-0.28515625,2.0,0.33203125,35.238754304,7.0,3.078125,6.125,1.0,0.5,1.0
5,37.73401951789856,-0.455078125,-0.154296875,0.30078125,0.0,128.0,0.0,0.2771056890487671,-0.00022892653942108154,0.5546875,2.009375810623169,-0.0005462318658828735,0.0,-0.455078125,0.019287109375,-0.46875,-0.44140625,0.130859375,1.0390625,35.238754304,9.375,8.8125,10.5625,1.0,1.0,1.0
6,44.33954858779907,-0.359375,-0.1083984375,0.25,0.0,128.0,0.0,0.7373756170272827,0.002080574631690979,1.5234375,2.8031530380249023,-0.0024806857109069824,0.0,-0.359375,0.130859375,-0.451171875,-0.265625,0.703125,1.4609375,35.238754304,6.375,4.0,7.3125,1.0,0.5,1.0
7,52.93747282028198,-0.1748046875,-0.0751953125,0.10009765625,0.0,128.0,0.0,0.34202563762664795,0.00442679226398468,0.669921875,2.333251476287842,-0.0009724199771881104,0.0,-0.1748046875,0.012451171875,-0.18359375,-0.166015625,-0.71875,0.5390625,35.238754304,7.1875,0.0,0.0,1.0,0.0,0.0
8,59.915836811065674,-0.3984375,-0.09765625,0.30078125,0.0,128.0,0.0,0.2840605676174164,5.4702162742614746e-05,0.55859375,2.1677088737487793,-0.000766947865486145,0.0,-0.3984375,0.04150390625,-0.427734375,-0.369140625,0.466796875,0.8203125,35.238754304,7.25,6.15625,7.125,1.0,1.0,1.0
9,66.57460689544678,-0.3984375,-0.09716796875,0.30078125,0.0,128.0,0.0,3.2650251388549805,-0.016729965806007385,6.5,1.182491660118103,0.0024689137935638428,0.0,-0.3984375,0.01104736328125,-0.40625,-0.390625,-2.53125,0.474609375,35.238754304,6.65625,5.75,6.3125,1.0,1.0,1.0
10,73.48178243637085,-0.412109375,-0.111328125,0.30078125,0.0,128.0,0.0,1.5296554565429688,-0.0004475712776184082,3.0625,3.3920490741729736,0.00035612285137176514,0.0,-0.412109375,0.0220947265625,-0.427734375,-0.396484375,-1.15625,1.859375,35.238754304,9.1875,5.625,7.0,1.0,1.0,1.0
