step,timestamp,total_reward,rm_score,indicator_penalty,kl_penalty,response_length_mean,response_length_std,ppo_loss,policy_loss,value_loss,entropy,approx_kl,clip_fraction,reward_mean,reward_std,reward_min,reward_max,advantage_mean,advantage_std,gpu_memory_gb,feat_10157_activation,feat_29733_activation,feat_6326_activation,feat_10157_above_tau,feat_29733_above_tau,feat_6326_above_tau
1,8.907083511352539,-0.36328125,-0.1142578125,0.25,0.0,128.0,0.0,0.306640625,0.0,0.61328125,3.255703926086426,0.0,0.0,-0.36328125,0.0927734375,-0.4296875,-0.298828125,-0.78125,0.08837890625,35.238754304,6.8125,4.59375,8.6875,1.0,0.5,1.0
2,16.530146598815918,-0.41015625,-0.1103515625,0.30078125,0.0,128.0,0.0,0.29296875,0.0,0.5859375,2.259307622909546,0.0,0.0,-0.41015625,0.01519775390625,-0.421875,-0.400390625,-0.494140625,0.82421875,35.238754304,7.25,7.90625,7.25,1.0,1.0,1.0
3,23.53434681892395,-0.41015625,-0.107421875,0.30078125,0.0,128.0,0.0,0.6816885471343994,-0.0011895149946212769,1.37890625,2.7152256965637207,0.0017554163932800293,0.0,-0.41015625,0.029052734375,-0.4296875,-0.388671875,1.078125,0.62890625,35.238754304,6.8125,7.5,7.0,1.0,1.0,1.0
4,31.07447862625122,-0.40625,-0.1064453125,0.30078125,0.0,128.0,0.0,0.7838813066482544,-0.0007493048906326294,1.57421875,2.2412261962890625,0.001993417739868164,0.0,-0.40625,0.01519775390625,-0.41796875,-0.396484375,1.21875,0.365234375,35.238754304,8.875,7.09375,7.6875,1.0,1.0,1.0
5,37.91827654838562,-0.453125,-0.150390625,0.30078125,0.0,128.0,0.0,0.11279559135437012,0.002215266227722168,0.22216796875,1.9571192264556885,0.0015482306480407715,0.0,-0.453125,0.020751953125,-0.466796875,-0.4375,-0.1123046875,0.6484375,35.238754304,10.125,9.125,11.1875,1.0,1.0,1.0
6,44.528735876083374,-0.373046875,-0.1220703125,0.25,0.0,128.0,0.0,1.364103078842163,0.0044867247343063354,2.71875,2.647854804992676,0.002752140164375305,0.0,-0.373046875,0.140625,-0.47265625,-0.2734375,1.390625,1.2890625,35.238754304,8.9375,7.28125,6.96875,1.0,1.0,0.5
7,53.12193822860718,-0.3828125,-0.0810546875,0.30078125,0.0,128.0,0.0,0.052507758140563965,-0.015716537833213806,0.140625,2.350832223892212,-0.0008760988712310791,0.0,-0.3828125,0.01519775390625,-0.392578125,-0.37109375,-0.37890625,0.059326171875,35.238754304,7.5,6.875,5.0625,1.0,1.0,1.0
8,60.00596332550049,-0.35546875,-0.10498046875,0.25,0.0,128.0,0.0,0.2802618443965912,-0.0004793107509613037,0.5625,2.223867416381836,0.0025235265493392944,0.0,-0.35546875,0.10205078125,-0.427734375,-0.283203125,0.51171875,0.76953125,35.238754304,8.625,7.34375,4.1875,1.0,1.0,0.5
9,66.58851385116577,-0.28125,-0.08154296875,0.2001953125,0.0,128.0,0.0,1.5426466464996338,-0.004286825656890869,3.09375,1.1939278841018677,-0.001260705292224884,0.0,-0.28125,0.1533203125,-0.390625,-0.173828125,-1.0703125,1.9609375,35.238754304,7.0625,3.296875,2.796875,1.0,0.5,0.5
10,73.54369235038757,-0.416015625,-0.115234375,0.30078125,0.0,128.0,0.0,1.0718555450439453,0.001668006181716919,2.171875,3.3779819011688232,0.0010281801223754883,0.0,-0.416015625,0.0303955078125,-0.4375,-0.39453125,-0.8203125,1.7109375,35.238754304,8.9375,9.25,8.5625,1.0,1.0,1.0
11,80.10615181922913,-0.44921875,-0.1484375,0.30078125,0.0,128.0,0.0,0.21882027387619019,0.0011484324932098389,0.435546875,2.8661060333251953,-0.0027102231979370117,0.0,-0.44921875,0.00689697265625,-0.453125,-0.443359375,-0.45703125,0.671875,35.238754304,10.0625,10.0,10.625,1.0,1.0,1.0
12,86.71724724769592,-0.287109375,-0.0859375,0.2001953125,0.0,128.0,0.0,1.4861040115356445,0.0015519410371780396,2.9609375,2.349022626876831,0.002966850996017456,0.0,-0.287109375,0.2158203125,-0.439453125,-0.1337890625,-1.5859375,0.9375,35.238754304,7.1875,4.53125,4.8125,1.0,0.5,0.5
13,93.27671003341675,-0.2890625,-0.08837890625,0.2001953125,0.0,128.0,0.0,0.7872958183288574,0.014395102858543396,1.5703125,2.86777925491333,0.0016126930713653564,0.0,-0.2890625,0.205078125,-0.43359375,-0.1435546875,-1.234375,0.271484375,35.238754304,7.5625,4.0625,4.375,1.0,0.5,0.5
14,100.21113872528076,-0.27734375,-0.07666015625,0.2001953125,0.0,128.0,0.0,1.7491568326950073,0.14061248302459717,3.234375,3.1623260974884033,0.0016550719738006592,0.0,-0.27734375,0.2080078125,-0.423828125,-0.1298828125,-1.796875,0.027587890625,35.238754304,6.875,3.34375,5.59375,1.0,0.5,0.5
